0,2,60
1.5,2,60
3,2,60
4.5,2,60
6,2,60
7.5,2,60
9,2,60
10.5,2,60
12,2,60
13.5,2,60
15,2,60
16.5,2,60
18,2,60
19.5,2,60
21,2,60
0,3,60
1.5,3,60
3,3,60
4.5,3,60
6,3,60
7.5,3,60
9,3,60
10.5,3,60
12,3,60
13.5,3,60
15,3,60
16.5,3,60
18,3,60
19.5,3,60
21,3,60
0,4,60
1.5,4,60
3,4,60
4.5,4,60
6,4,60
7.5,4,60
9,4,60
10.5,4,60
12,4,60
13.5,4,60
15,4,60
16.5,4,60
18,4,60
19.5,4,60
21,4,60
0,5,60
1.5,5,60
3,5,60
4.5,5,60
6,5,60
7.5,5,60
9,5,60
10.5,5,60
12,5,60
13.5,5,60
15,5,60
16.5,5,60
18,5,60
19.5,5,60
21,5,60
0,6,60
1.5,6,60
3,6,60
4.5,6,60
6,6,60
7.5,6,60
9,6,60
10.5,6,60
12,6,60
13.5,6,60
15,6,60
16.5,6,60
18,6,60
19.5,6,60
21,6,60
0,7,60
1.5,7,60
3,7,60
4.5,7,60
6,7,60
7.5,7,60
9,7,60
10.5,7,60
12,7,60
13.5,7,60
15,7,60
16.5,7,60
18,7,60
19.5,7,60
21,7,60
0,8,60
1.5,8,60
3,8,60
4.5,8,60
6,8,60
7.5,8,60
9,8,60
10.5,8,60
12,8,60
13.5,8,60
15,8,60
16.5,8,60
18,8,60
19.5,8,60
21,8,60
0,9,60
1.5,9,60
3,9,60
4.5,9,60
6,9,60
7.5,9,60
9,9,60
10.5,9,60
12,9,60
13.5,9,60
15,9,60
16.5,9,60
18,9,60
19.5,9,60
21,9,60
0,10,60
1.5,10,60
3,10,60
4.5,10,60
6,10,60
7.5,10,60
9,10,60
10.5,10,60
12,10,60
13.5,10,60
15,10,60
16.5,10,60
18,10,60
19.5,10,60
21,10,60
0,11,60
1.5,11,60
3,11,60
4.5,11,60
6,11,60
7.5,11,60
9,11,60
10.5,11,60
12,11,60
13.5,11,60
15,11,60
16.5,11,60
18,11,60
19.5,11,60
21,11,60
0,12,60
1.5,12,60
3,12,60
4.5,12,60
6,12,60
7.5,12,60
9,12,60
10.5,12,60
12,12,60
13.5,12,60
15,12,60
16.5,12,60
18,12,60
19.5,12,60
21,12,60
0,13,60
1.5,13,60
3,13,60
4.5,13,60
6,13,60
7.5,13,60
9,13,60
10.5,13,60
12,13,60
13.5,13,60
15,13,60
16.5,13,60
18,13,60
19.5,13,60
21,13,60
0,14,60
1.5,14,60
3,14,60
4.5,14,60
6,14,60
7.5,14,60
9,14,60
10.5,14,60
12,14,60
13.5,14,60
15,14,60
16.5,14,60
18,14,60
19.5,14,60
21,14,60
0,15,60
1.5,15,60
3,15,60
4.5,15,60
6,15,60
7.5,15,60
9,15,60
10.5,15,60
12,15,60
13.5,15,60
15,15,60
16.5,15,60
18,15,60
19.5,15,60
21,15,60
0,16,60
1.5,16,60
3,16,60
4.5,16,60
6,16,60
7.5,16,60
9,16,60
10.5,16,60
12,16,60
13.5,16,60
15,16,60
16.5,16,60
18,16,60
19.5,16,60
21,16,60
